DATUMVOLEB;OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
20121012;74;1;47;"Milada";"Halíková";"PaedDr.";"";62;"poslankynì PS  PÈR";"Havíøov";555088;99;47;"A";9115;29.56;29.56919483552845;2;0;6510;40.29;40.29213344061397;0;0;"Komunistická strana Èech a Moravy"
20121012;74;2;764;"Jan";"Odloilík";"Ing.";"";58;"manaer projektu";"Kopøivnice";599565;99;764;"A";331;1.07;1.07376889638616;0;0;0;0;0;0;0;"Národní socialisté - levice 21. století"
20121012;74;3;53;"Radomil";"Schreiber";"MUDr.";"";40;"zubní lékaø";"Havíøov";555088;53;53;"A";3363;10.9;10.90962174787517;0;0;0;0;0;0;0;"Obèanská demokratická strana"
20121012;74;4;159;"Jana";"Lorencová";"";"";72;"novináøka";"Ostrava";4;99;159;"A";5320;17.25;17.25815869720365;0;0;0;0;0;0;0;"Strana práce"
20121012;74;6;7;"Petr";"Vícha";"Ing.";"";49;"starosta";"Bohumín";599051;7;7;"A";12697;41.18;41.18925582300655;2;0;9647;59.7;59.70786655938602;1;0;"Èeská strana sociálnì demokratická"
20121012;77;1;759;"Karel";"Nedbálek";"JUDr. Ing.";"Ph.D.";55;"pøedseda zem. drustva";"Zlín";585068;759;759;"A";557;1.61;1.61505451171421;0;0;0;0;0;0;0;"SUVERENITA - Blok Jany Bobošíkové"
20121012;77;2;47;"Vladimír";"Místeckı";"";"";60;"strojvedoucí";"Valašské Meziøíèí";545058;47;47;"A";4244;12.3;12.30572952911157;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
20121012;77;3;764;"Marie";"Hoøèicová";"";"";55;"øeditelka obchodní spoleènosti";"Novı Hrozenkov";544566;764;764;"A";467;1.35;1.35409417768499;0;0;0;0;0;0;0;"Národní socialisté - levice 21. století"
20121012;77;4;7;"Jindøich";"Šnejdrla";"Ing.";"";54;"viceprezident Agrární kom. ÈR";"Valašské Meziøíèí";545058;7;7;"A";5738;16.63;16.63767107399675;2;0;5793;27.86;27.86703867615932;0;0;"Èeská strana sociálnì demokratická"
20121012;77;5;83;"Aleš";"Bardoò";"";"";64;"dùchodce";"Ronov pod Radhoštìm";544841;83;83;"A";589;1.7;1.70784040825794;0;0;0;0;0;0;0;"Moravané"
20121012;77;6;1;"Jiøí";"Èunek";"";"";53;"senátor";"Vsetín";541630;1;1;"A";16306;47.28;47.28021340756205;2;0;14995;72.13;72.13296132384067;1;0;"Køesan.a demokrat.unie-Èeskosl.strana lidová"
20121012;77;7;80;"Jindøich";"Cahlík";"";"";51;"strojvedoucí ÈD CARGO";"Valašské Meziøíèí";545058;99;80;"A";2293;6.64;6.64868939921131;0;0;0;0;0;0;0;"Nezávislí kandidáti"
20121012;77;8;53;"Jiøí";"Èásteèka";"";"";51;"starosta";"Valašské Meziøíèí";545058;53;53;"A";4294;12.45;12.45070749246114;0;0;0;0;0;0;0;"Obèanská demokratická strana"
20121012;80;1;1;"Ludvík";"Hovorka";"Ing.";"";49;"projektant";"Šumice";592676;1;1;"A";6398;16.45;16.45660785019805;0;0;0;0;0;0;0;"Køesan.a demokrat.unie-Èeskosl.strana lidová"
20121012;80;2;80;"Tomio";"Okamura";"";"";40;"manaer, ek. a pol. publicista";"Praha 10";500224;99;80;"A";11772;30.27;30.27933535675703;2;0;17401;66.23;66.23401339829476;1;0;"Nezávislí kandidáti"
20121012;80;3;7;"Stanislav";"Mišák";"MVDr.";"";59;"hejtman Zlínského kraje";"Otrokovice";585599;7;7;"A";9740;25.05;25.05272904984824;2;0;8871;33.76;33.76598660170523;0;0;"Èeská strana sociálnì demokratická"
20121012;80;4;47;"Václav";"Ransdorf";"Ing.";"";67;"soudní znalec";"Otrokovice";585599;99;47;"A";2896;7.44;7.44894284685426;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
20121012;80;5;764;"Ivo";"Spáèil";"Ing.";"";46;"ekonom";"Babice";592013;764;764;"A";176;.45;.45269818406296;0;0;0;0;0;0;0;"Národní socialisté - levice 21. století"
